2023-06-04 00:03:16,663 INFO    Thread-49 :26288 [wandb_setup.py:_flush():76] Current SDK version is 0.15.3
2023-06-04 00:03:16,664 INFO    Thread-49 :26288 [wandb_setup.py:_flush():76] Configure stats pid to 26288
2023-06-04 00:03:16,664 INFO    Thread-49 :26288 [wandb_setup.py:_flush():76] Loading settings from C:\Users\yshen\.config\wandb\settings
2023-06-04 00:03:16,664 INFO    Thread-49 :26288 [wandb_setup.py:_flush():76] Loading settings from E:\Projects\Git\mlops_selflearn\02-experiment-tracking\homework\wandb\homework-wandb\wandb\settings
2023-06-04 00:03:16,664 INFO    Thread-49 :26288 [wandb_setup.py:_flush():76] Loading settings from environment variables: {'entity': 'yuanshen', 'project': 'wandb-zoomcamp-homework', 'root_dir': 'E:\\Projects\\Git\\mlops_selflearn\\02-experiment-tracking\\homework\\wandb\\homework-wandb', 'run_id': '2pa181o2', 'sweep_param_path': 'E:\\Projects\\Git\\mlops_selflearn\\02-experiment-tracking\\homework\\wandb\\homework-wandb\\wandb\\sweep-jcyxxt3k\\config-2pa181o2.yaml', 'sweep_id': 'jcyxxt3k'}
2023-06-04 00:03:16,664 INFO    Thread-49 :26288 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-06-04 00:03:16,664 INFO    Thread-49 :26288 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': '02-experiment-tracking\\homework\\wandb\\homework-wandb\\sweep.py', 'program': 'E:\\Projects\\Git\\mlops_selflearn\\02-experiment-tracking\\homework\\wandb\\homework-wandb\\sweep.py'}
2023-06-04 00:03:16,664 INFO    Thread-49 :26288 [wandb_init.py:_log_setup():507] Logging user logs to E:\Projects\Git\mlops_selflearn\02-experiment-tracking\homework\wandb\homework-wandb\wandb\run-20230604_000316-2pa181o2\logs\debug.log
2023-06-04 00:03:16,664 INFO    Thread-49 :26288 [wandb_init.py:_log_setup():508] Logging internal logs to E:\Projects\Git\mlops_selflearn\02-experiment-tracking\homework\wandb\homework-wandb\wandb\run-20230604_000316-2pa181o2\logs\debug-internal.log
2023-06-04 00:03:16,664 INFO    Thread-49 :26288 [wandb_init.py:init():547] calling init triggers
2023-06-04 00:03:16,664 INFO    Thread-49 :26288 [wandb_init.py:init():554] wandb.init called with sweep_config: {'max_depth': 4, 'min_samples_leaf': 2, 'min_samples_split': 8, 'n_estimators': 49}
config: {}
2023-06-04 00:03:16,664 INFO    Thread-49 :26288 [wandb_init.py:init():596] starting backend
2023-06-04 00:03:16,665 INFO    Thread-49 :26288 [wandb_init.py:init():600] setting up manager
2023-06-04 00:03:16,670 INFO    Thread-49 :26288 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=spawn, using: spawn
2023-06-04 00:03:16,675 INFO    Thread-49 :26288 [wandb_init.py:init():606] backend started and connected
2023-06-04 00:03:16,680 INFO    Thread-49 :26288 [wandb_run.py:_config_callback():1286] config_cb None None {'max_depth': 4, 'min_samples_leaf': 2, 'min_samples_split': 8, 'n_estimators': 49}
2023-06-04 00:03:16,680 INFO    Thread-49 :26288 [wandb_init.py:init():700] updated telemetry
2023-06-04 00:03:16,715 INFO    Thread-49 :26288 [wandb_init.py:init():737] communicating run to backend with 60.0 second timeout
2023-06-04 00:03:17,534 INFO    Thread-49 :26288 [wandb_run.py:_on_init():2177] communicating current version
2023-06-04 00:03:18,178 INFO    Thread-49 :26288 [wandb_run.py:_on_init():2186] got version response 
2023-06-04 00:03:18,179 INFO    Thread-49 :26288 [wandb_init.py:init():787] starting run threads in backend
2023-06-04 00:03:20,902 INFO    Thread-49 :26288 [wandb_run.py:_console_start():2158] atexit reg
2023-06-04 00:03:20,902 INFO    Thread-49 :26288 [wandb_run.py:_redirect():2013] redirect: SettingsConsole.WRAP_RAW
2023-06-04 00:03:20,902 INFO    Thread-49 :26288 [wandb_run.py:_redirect():2078] Wrapping output streams.
2023-06-04 00:03:20,903 INFO    Thread-49 :26288 [wandb_run.py:_redirect():2103] Redirects installed.
2023-06-04 00:03:20,903 INFO    Thread-49 :26288 [wandb_init.py:init():829] run started, returning control to user process
2023-06-04 00:03:25,229 INFO    Thread-49 :26288 [wandb_run.py:_finish():1893] finishing run yuanshen/wandb-zoomcamp-homework/2pa181o2
2023-06-04 00:03:25,229 INFO    Thread-49 :26288 [wandb_run.py:_atexit_cleanup():2127] got exitcode: 0
2023-06-04 00:03:25,230 INFO    Thread-49 :26288 [wandb_run.py:_restore():2110] restore
2023-06-04 00:03:25,230 INFO    Thread-49 :26288 [wandb_run.py:_restore():2116] restore done
2023-06-04 00:03:34,820 INFO    Thread-49 :26288 [wandb_run.py:_footer_history_summary_info():3469] rendering history
2023-06-04 00:03:34,820 INFO    Thread-49 :26288 [wandb_run.py:_footer_history_summary_info():3501] rendering summary
2023-06-04 00:03:34,825 INFO    Thread-49 :26288 [wandb_run.py:_footer_sync_info():3428] logging synced files
